turn_number	ship_A_end_location	ship_B_end_location	guild_action_1	guild_action_2	guild_action_3	gold_end	enmity_end	glory	ship_A_end_goods	ship_B_end_goods	warehouse_goods	ship_A_upgrades	ship_B_upgrades	structures	refreshed_advisors	active_advisor	exhausted_advisors	notes
winter	home	home	none	none	none	18	6	0	none	none	none	none	none	none	The Renowned Merchant	none	none	the priority is always to find the buy+2 advisor first.
1	snake in my boots	prussia	sail	buy 4 goods	none	5	6	0	W	"L,S,W"	none	none	none	none	buy+2? raid? upgrade?	The Renowned Merchant	none	none
2	windy	home	sail	upgrade 1 ship	none	3	6	1	W	"L,S"	none	none	hold+1	none	buy+2? raid?	upgrade?	The Renowned Merchant	none
3	candyland	windy	sail	raid 1 site 8-mine	none	11	5	2	W	"L,S"	none	none	hold+1	none	buy+2? raid?	none	The Renowned Merchant	none
4	windy	windy	sail	buy 3 goods	none	2	5	2	"L,S"	"L,I,S,W"	none	none	hold+1	none	raid?	buy+2?	The Renowned Merchant	buy 3 goods in windy
5	snake in my boots	prussia	found buy +2 colony	sail	none	2	4	6	none	none	none	none	hold+1	none	raid?	none	"The Renowned Merchant,buy+2?"	none
6	snake in my boots	prussia	raid 1 site for wood	collect taxes	none	5	3	7	none	W	none	none	hold+1	none	tax?	raid?	"The Renowned Merchant,buy+2?"	none
winter	snake in my boots	prussia	none	none	none	19	3	7	none	W	I-windy	none	hold+1	none	"The Renowned Merchant,buy+2?,raid?,tax?"	none	"The Renowned Merchant,buy+2?,raid?"	none
7	windy	windy	buy 4 goods	sail	none	7	3	7	"L,I,S,W"	"L,S"	none	none	hold+1	none	"buy+2?,raid?,tax?"	The Renowned Merchant	none	buy 4 goods in prussia
8	xeno	xeno	sail	found tax +4 colony	none	7	2	11	none	none	none	none	hold+1	none	"buy+2?,raid?,tax?"	none	The Renowned Merchant	none
9	candyland	candyland	sail	raid 1 site 10-mine	none	17	1	11	none	none	none	none	hold+1	none	"buy+2?,raid?,tax?"	raid?	The Renowned Merchant	"if you've collected 2g via advisor, raid the 8-mine instead"
10	"(3,3,6)"	windy	sail	tax	none	20	1	12	none	none	none	none	hold+1	none	"buy+2?,tax?"	tax?	The Renowned Merchant	none
11	tahiti	windy	sail	buy 6 goods	none	0	1	12	"L,W"	"I,L,S,S"	none	none	hold+1	none	build?	buy+2?	"The Renowned Merchant,raid?,tax?"	none
12	tahiti	tahiti	sail	found sail +3 colony	none	0	0	20	none	none	none	none	hold+1	none	build?	none	"The Renowned Merchant,raid?,tax?,buy+2?"	none
